# == pyFAI calibration ==
# Distance Sample to Detector: 1.19389178917929 m
# PONI: 2.049e-01, 2.073e-01 m
# Rotations: -0.002895 0.008002 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1193.935 mm
# Center: x=712.167, y=724.652 pix
# Tilt: 0.488 deg  TiltPlanRot: 70.108 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.960e-04, 2.960e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.393e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> example-analysis/integrated.dat
#       2th_deg             I 
  1.856375e+00    2.223210e+00
  1.859234e+00    2.280667e+00
  1.862092e+00    2.305683e+00
  1.864951e+00    2.322779e+00
  1.867809e+00    2.336133e+00
  1.870668e+00    2.321114e+00
  1.873526e+00    2.317993e+00
  1.876385e+00    2.350255e+00
  1.879243e+00    2.306006e+00
  1.882102e+00    2.273955e+00
  1.884960e+00    2.267592e+00
  1.887819e+00    2.278205e+00
  1.890677e+00    2.281654e+00
  1.893536e+00    2.307127e+00
  1.896394e+00    2.317539e+00
  1.899253e+00    2.313626e+00
  1.902111e+00    2.297504e+00
  1.904970e+00    2.346907e+00
  1.907829e+00    2.409782e+00
  1.910687e+00    2.423298e+00
  1.913546e+00    2.410633e+00
  1.916404e+00    2.361228e+00
  1.919263e+00    2.305900e+00
  1.922121e+00    2.270958e+00
  1.924980e+00    2.278724e+00
  1.927838e+00    2.269194e+00
  1.930697e+00    2.285760e+00
  1.933555e+00    2.303885e+00
  1.936414e+00    2.297717e+00
  1.939272e+00    2.253530e+00
  1.942131e+00    2.273155e+00
  1.944989e+00    2.254887e+00
  1.947848e+00    2.247088e+00
  1.950706e+00    2.263359e+00
  1.953565e+00    2.321748e+00
  1.956423e+00    2.357995e+00
  1.959282e+00    2.373597e+00
  1.962140e+00    2.380393e+00
  1.964999e+00    2.391414e+00
  1.967857e+00    2.413972e+00
  1.970716e+00    2.399473e+00
  1.973574e+00    2.361639e+00
  1.976433e+00    2.297380e+00
  1.979292e+00    2.211669e+00
  1.982150e+00    2.170268e+00
  1.985009e+00    2.193792e+00
  1.987867e+00    2.222445e+00
  1.990726e+00    2.254408e+00
  1.993584e+00    2.290633e+00
