# == pyFAI calibration ==
# Distance Sample to Detector: 1.1940462449808116 m
# PONI: 2.115e-01, 2.068e-01 m
# Rotations: -0.003366 0.000439 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1194.053 mm
# Center: x=712.136, y=716.184 pix
# Tilt: 0.195 deg  TiltPlanRot: 7.430 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.960e-04, 2.960e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.393e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /Users/mbcx9cd4/Documents/GitHub/pyFAI-integration-caking/analysis/integrated.dat
#       2th_deg             I 
  9.417278e-01    2.459968e+00
  9.431551e-01    2.431082e+00
  9.445824e-01    2.398948e+00
  9.460098e-01    2.386185e+00
  9.474371e-01    2.379679e+00
  9.488645e-01    2.353564e+00
  9.502918e-01    2.350766e+00
  9.517191e-01    2.344517e+00
  9.531465e-01    2.315395e+00
  9.545738e-01    2.297068e+00
  9.560012e-01    2.288056e+00
  9.574285e-01    2.290916e+00
  9.588558e-01    2.266783e+00
  9.602832e-01    2.256856e+00
  9.617105e-01    2.271422e+00
  9.631379e-01    2.296243e+00
  9.645652e-01    2.318603e+00
  9.659925e-01    2.328082e+00
  9.674199e-01    2.330220e+00
  9.688472e-01    2.327189e+00
  9.702746e-01    2.323197e+00
  9.717019e-01    2.328202e+00
  9.731292e-01    2.338708e+00
  9.745566e-01    2.320605e+00
  9.759839e-01    2.301186e+00
  9.774113e-01    2.304747e+00
  9.788386e-01    2.300265e+00
  9.802660e-01    2.287750e+00
